id,name,team,GW 1,GW 2,GW 3,GW 4,GW 5,GW 6,GW 7,GW 8,GW 9,GW 10,GW 11,GW 12,GW 13,GW 14,GW 15,GW 16,GW 17,GW 18,GW 19,GW 20,GW 21,GW 22,GW 23,GW 24,GW 25,GW 26,GW 27,GW 28,GW 29,GW 30,GW 31,GW 32,GW 33,GW 34,GW 35,GW 36,GW 37,GW 38
361,Ortega Moreno,Man City,4.0,4.0,4.0,4.0,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,0.0,3.8,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.7,3.7,0.0,3.7,3.7,3.7,3.8,3.9000000953674316,4.0,4.199999809265137,3.9000000953674316,3.9000000953674316
365,Rodrigo,Man City,5.5,5.6,5.6,5.7,5.7,5.7,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,0.0,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,0.0,5.6,5.6,5.6,5.6,6.400000095367432,6.300000190734863,6.699999809265137,6.300000190734863,6.199999809265137
366,Sergio Gómez,Man City,4.0,4.0,4.0,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,0.0,3.9,3.9,3.9,3.8,3.8,3.8,3.8,3.8,3.8,3.8,0.0,3.8,3.8,3.8,3.8,4.5,4.800000190734863,4.599999904632568,4.599999904632568,4.599999904632568
368,Stones,Man City,5.5,5.4,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,0.0,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,0.0,5.3,5.3,5.3,5.3,4.5,4.5,4.5,4.5,4.5
369,Walker,Man City,5.0,5.0,5.1,5.2,5.2,5.2,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,0.0,5.3,5.3,5.4,5.4,5.5,5.5,5.5,5.5,5.5,5.4,0.0,5.4,5.3,5.3,5.3,4.900000095367432,4.900000095367432,4.699999809265137,4.699999809265137,5.0
566,Matheus N.,Man City,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.9,4.9,4.9,4.8,4.8,4.8,4.8,0.0,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.7,0.0,4.7,4.7,4.7,4.7,4.900000095367432,4.900000095367432,4.800000190734863,4.699999809265137,4.699999809265137
616,Gvardiol,Man City,5.0,5.0,5.0,5.1,5.1,5.1,5.1,5.0,5.0,5.0,5.0,5.0,5.0,4.9,4.9,4.9,4.9,0.0,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,0.0,4.8,4.8,4.8,4.8,4.400000095367432,4.699999809265137,4.800000190734863,4.599999904632568,4.699999809265137
678,Doku,Man City,0.0,0.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.6,6.7,6.8,6.8,6.7,6.6,0.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.4,0.0,6.4,6.4,6.4,6.4,5.0,5.199999809265137,5.199999809265137,5.0,5.0
762,Susoho,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,0.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
771,Hamilton,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,0.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
