web_name,element_type,team_code_code,team_code_code,name
Slimane,3,49,,
Larouci,2,49,,
T.Bénie,4,49,,
Vini Souza,3,49,,
Seriki,2,49,,
Marsh,4,49,,
Brooks,3,49,,
Hackford,4,49,,
Hamer,3,49,,
T.Davies,3,49,,
Thomas,2,49,,
Oné,3,49,,
Buyabu,2,49,,
Peck,3,49,,
Brereton Díaz,3,49,,
Grbić,1,49,,
Blacker,4,49,,
Arblaster,3,49,,
Sasnauskas,2,49,,
Curtis,2,49,,
Johnson,3,6,,
Austin,1,6,,
Bentancur,3,6,,
Bissouma,3,6,,
Bryan,3,6,,
Davies,2,6,,
Dier,2,6,,
E.Royal,2,6,,
Forster,1,6,,
Højbjerg,3,6,,
Kane,4,6,,
Kulusevski,3,6,,
Lloris,1,6,,
Lo Celso,3,6,,
Maddison,3,6,,
Ndombele,3,6,,
Pedro Porro,2,6,,
Perišić,2,6,,
Richarlison,3,6,,
Rodon,2,6,,
Romero,2,6,,
Sánchez,2,6,,
Sarr,3,6,,
Sessegnon,2,6,,
Skipp,3,6,,
Son,3,6,,
Spence,2,6,,
Tanganga,2,6,,
Udogie,2,6,,
Vicario,1,6,,
Whiteman,1,6,,
Solomon,3,6,,
Van de Ven,2,6,,
Scarlett,4,6,,
Veliz,4,6,,
Phillips,2,6,,
Donley,4,6,,
Dorrington,2,6,,
Yago Santiago,3,6,,
Werner,4,6,,
Drăgușin,2,6,,
Phillips,3,21,,
N.Aguerd,2,21,,
Antonio,4,21,,
Areola,1,21,,
Benrahma,3,21,,
Bowen,3,21,,
Cornet,3,21,,
Coufal,2,21,,
Coventry,3,21,,
Cresswell,2,21,,
Downes,3,21,,
Emerson,2,21,,
Fabianski,1,21,,
P.Fornals,3,21,,
Ings,4,21,,
Johnson,2,21,,
Kehrer,2,21,,
Mubama,4,21,,
L.Paquetá,3,21,,
Scamacca,4,21,,
Souček,3,21,,
Vlašić,3,21,,
Zouma,2,21,,
Ogbonna,2,21,,
Álvarez,3,21,,
Anang,1,21,,
Ward-Prowse,3,21,,
Mavropanos,2,21,,
Kudus,3,21,,
Orford,3,21,,
Casey,2,21,,
Scarles,2,21,,
Marshall,4,21,,
Earthy,3,21,,
Doyle,3,39,,
Aït-Nouri,2,39,,
Bentley,1,39,,
Bolla,2,39,,
H.Bueno,2,39,,
Chiquinho,3,39,,
Cundle,3,39,,
Dawson,2,39,,
Fábio Silva,4,39,,
Guedes,3,39,,
Hodge,3,39,,
Hoever,2,39,,
Hee Chan,3,39,,
João Gomes,3,39,,
J.Otto,2,39,,
Jordão,3,39,,
Kalajdžić,4,39,,
Kilman,2,39,,
King,1,39,,
Mario Jr.,3,39,,
Neto,3,39,,
Podence,3,39,,
José Sá,1,39,,
Sarabia,3,39,,
Šarkić,1,39,,
N.Semedo,2,39,,
Toti,2,39,,
Boubacar Traore,3,39,,
Cunha,4,39,,
Doherty,2,39,,
S.Bueno,2,39,,
González,3,39,,
Fraser,4,39,,
Bellegarde,3,39,,
Whittingham,3,39,,
Chirewa,3,39,,
Hubner,2,39,,
Hesketh,3,39,,
Barnett,3,39,,
Griffiths,3,39,,
Mosquera,2,39,,
N.Lemina,3,39,,
Okoduwa,2,39,,
